14	7784,857221	-1926,603438	733748,251091	1159956,888711
13	8128,128499	-2073,106973	734092,594267	1159812,588475
12	8657,432410	-2313,621803	734623,523763	1159575,519795
11	8956,097238	-2330,176512	734922,289882	1159560,963347
9	9086,468738	-2800,343921	735055,812692	1159091,533990
8	8483,862129	-2992,855265	734454,408384	1158895,062652
7	8052,558471	-3089,755125	734023,621362	1158795,314589
6	7308,827903	-2818,497125	733278,168543	1159061,312491
5	7292,195268	-2370,966597	733258,294673	1159509,170950
3	7648,586396	-1896,165218	733611,933088	1159986,326433
2	7761,515349	-2001,342313	733725,343210	1159881,956948
